name,year,month,commit_count
Simon Chisholm,2012,11,7
Andrzej Pronobis,2012,11,13
Kyle L. Huff,2012,11,6
HUXIAOFENG,2012,11,17
Lazaros Kazantzis,2012,11,6
Chetan T,2012,11,9
Doug Patti,2012,11,39
mgc480,2012,11,30
Dlaor,2012,11,36
Anderberg,2012,11,14
Tom Mays,2012,11,5
Daniel Sedra,2012,11,13
phorcyas,2012,11,41
Sean Harvey,2012,11,245
Bradley Priest,2012,11,14
Paul McMahon,2012,11,8
Louis Grellet,2012,11,41
Nam Chu Hoai,2012,11,6
Jay Sorg,2012,11,16
SodyM,2012,11,14
Tong Shen,2012,11,19
Voight Kampff,2012,11,6
Kit La Touche,2012,11,15

